Date,Open,High,Low,Close,Adj Close,Volume
16-02-2010,3.76,3.88,3.76,3.88,3.603569,8300
17-02-2010,3.82,3.93,3.75,3.85,3.575706,13300
18-02-2010,4.2,4.54,4.15,4.38,4.067946,85300
19-02-2010,4.32,4.43,4.27,4.35,4.040084,25200
22-02-2010,4.37,4.48,4.17,4.28,3.975071,24800
23-02-2010,4.34,4.39,4.06,4.1,3.807895,20100
24-02-2010,4.06,4.11,3.89,4.06,3.770746,24500
25-02-2010,3.87,4.07,3.84,3.91,3.631433,124900
26-02-2010,3.9,4.05,3.9,4.04,3.752171,44600
01-03-2010,4.07,4.14,3.95,4.05,3.761458,31900
02-03-2010,3.98,4.2,3.98,4.13,3.835758,21900
03-03-2010,4.08,4.24,4,4.23,3.928635,17400
04-03-2010,4.15,4.22,4.15,4.19,3.891483,14400
05-03-2010,4.23,4.25,4.11,4.25,3.94721,25100
08-03-2010,4.25,4.3,4.12,4.29,3.984358,28300
09-03-2010,4.24,4.34,4.22,4.27,3.965783,55000
10-03-2010,4.3,4.3,4.11,4.3,3.993647,26300
11-03-2010,4.3,4.36,4.22,4.32,4.012221,50500
12-03-2010,4.3,4.34,4.24,4.3,3.993647,40100
15-03-2010,4.33,4.34,4.24,4.3,3.993647,30600
16-03-2010,4.33,4.34,4.25,4.31,4.002935,59500
17-03-2010,4.27,4.34,4.25,4.31,4.002935,77300
18-03-2010,4.31,4.41,4.3,4.38,4.067946,17900
19-03-2010,4.28,4.4,4.28,4.28,3.975071,52400
22-03-2010,4.27,4.54,4.22,4.46,4.142247,19900
23-03-2010,4.46,4.46,4.36,4.45,4.132959,13300
24-03-2010,4.44,4.52,4.36,4.47,4.151535,22400
25-03-2010,4.55,4.59,4.43,4.43,4.114384,24800
26-03-2010,4.39,4.57,4.39,4.4,4.086523,32500
29-03-2010,4.5,4.53,4.47,4.49,4.170109,19100
30-03-2010,4.5,4.65,4.45,4.59,4.262985,19000
31-03-2010,4.59,4.65,4.55,4.6,4.272274,17300
01-04-2010,4.65,4.7,4.61,4.65,4.318711,30800
05-04-2010,4.73,4.85,4.69,4.83,4.485886,29400
06-04-2010,4.86,4.9,4.84,4.85,4.504462,42700
07-04-2010,4.87,4.96,4.77,4.91,4.560186,19900
08-04-2010,4.93,4.97,4.87,4.95,4.597337,27200
09-04-2010,4.89,4.96,4.56,4.89,4.541613,54900
12-04-2010,4.89,4.9,4.84,4.85,4.504462,14400
13-04-2010,4.88,4.96,4.72,4.96,4.606626,22300
14-04-2010,4.93,5.18,4.9,5.03,4.671638,38600
15-04-2010,4.92,5.09,4.9,5.01,4.653063,15100
16-04-2010,5,5.07,4.97,5.02,4.662352,28000
19-04-2010,5,5.02,4.9,5,4.643775,24400
20-04-2010,5.03,5.15,5,5.05,4.690214,33300
21-04-2010,5.01,5.09,4.96,5.03,4.671638,4100
22-04-2010,5,5.09,4.98,5.07,4.70879,18800
23-04-2010,5.05,5.1,5.03,5.09,4.727365,4100
26-04-2010,5.13,5.13,5.05,5.06,4.699501,14300
27-04-2010,5,5,4.7,4.98,4.625202,67800
28-04-2010,5,5,4.91,4.93,4.578762,5800
29-04-2010,4.87,4.99,4.87,4.99,4.634489,22000
30-04-2010,5,5,4.96,4.97,4.615913,11500
03-05-2010,5,5,4.87,4.96,4.606626,34900
04-05-2010,4.91,4.98,4.84,4.84,4.495174,16900
05-05-2010,4.82,4.98,4.79,4.95,4.597337,15900
06-05-2010,4.96,5,4.63,4.92,4.569476,38600
07-05-2010,4.99,5,4.75,4.87,4.523037,21300
10-05-2010,5,5,4.86,4.92,4.569476,10700
11-05-2010,5,5,4.86,4.98,4.625202,23100
12-05-2010,5,5,4.94,5,4.643775,23100
13-05-2010,4.97,4.98,4.86,4.97,4.615913,7300
14-05-2010,4.9,4.94,4.87,4.92,4.569476,12300
17-05-2010,4.95,4.98,4.85,4.86,4.51375,11100
18-05-2010,4.86,4.88,4.77,4.78,4.439449,10100
19-05-2010,4.77,4.87,4.75,4.79,4.448737,16500
20-05-2010,4.57,4.78,4.57,4.65,4.318711,46600
21-05-2010,4.53,4.71,4.4,4.6,4.272274,41700
24-05-2010,4.59,4.74,4.5,4.6,4.272274,38000
25-05-2010,4.52,4.62,4.33,4.55,4.225837,54700
26-05-2010,4.6,4.68,4.6,4.61,4.281559,11600
27-05-2010,4.7,5.1,4.68,4.7,4.365149,152800
28-05-2010,4.71,4.71,4.53,4.67,4.337286,34900
01-06-2010,4.62,4.82,4.27,4.67,4.337286,33100
02-06-2010,4.65,4.79,4.49,4.72,4.383724,31600
03-06-2010,4.7,4.89,4.65,4.75,4.411587,26300
04-06-2010,4.75,4.84,4.61,4.83,4.485886,55200
07-06-2010,4.82,4.82,4.74,4.79,4.448737,32200
08-06-2010,4.8,4.83,4.61,4.68,4.346574,41100
09-06-2010,4.72,4.82,4.66,4.72,4.383724,20300
10-06-2010,4.75,4.89,4.75,4.79,4.448737,6600
11-06-2010,4.76,4.84,4.72,4.8,4.458025,7000
14-06-2010,4.81,4.94,4.79,4.79,4.448737,14400
15-06-2010,4.8,4.9,4.71,4.76,4.420874,17100
16-06-2010,4.84,4.84,4.51,4.73,4.393012,30200
17-06-2010,4.71,4.85,4.64,4.72,4.383724,26000
18-06-2010,4.64,4.76,4.64,4.76,4.420874,7900
21-06-2010,4.91,4.91,4.76,4.86,4.51375,18600
22-06-2010,4.86,4.86,4.72,4.73,4.393012,19500
23-06-2010,4.76,4.79,4.65,4.76,4.420874,6400
24-06-2010,4.62,4.75,4.62,4.63,4.300137,11100
25-06-2010,4.64,4.78,4.61,4.65,4.318711,32300
28-06-2010,4.66,4.69,4.6,4.6,4.272274,23400
29-06-2010,4.61,4.7,4.55,4.57,4.244411,34500
30-06-2010,4.59,4.7,4.59,4.66,4.327998,25200
01-07-2010,4.62,4.72,4.49,4.55,4.225837,53100
02-07-2010,4.58,4.75,4.54,4.75,4.411587,26400
06-07-2010,4.72,4.72,4.51,4.51,4.188686,37300
07-07-2010,4.52,4.63,4.5,4.57,4.244411,18200
08-07-2010,4.61,4.69,4.53,4.65,4.318711,18600
09-07-2010,4.56,4.68,4.51,4.51,4.188686,63800
12-07-2010,4.45,4.75,4.45,4.72,4.383724,26400
13-07-2010,4.75,4.75,4.61,4.75,4.411587,22900
14-07-2010,4.71,4.75,4.63,4.7,4.365149,23200
15-07-2010,4.72,4.79,4.6,4.61,4.281559,15900
16-07-2010,4.6,4.62,4.4,4.4,4.086523,15700
19-07-2010,4.38,4.38,4,4.33,4.021509,63600
20-07-2010,4.22,4.53,4.22,4.5,4.179397,23600
21-07-2010,4.48,4.52,4.47,4.52,4.197973,13800
22-07-2010,4.51,4.64,4.5,4.6,4.272274,15100
23-07-2010,4.57,4.57,4.5,4.57,4.244411,11500
26-07-2010,4.48,4.58,4.37,4.55,4.225837,11200
27-07-2010,4.49,4.58,4.33,4.53,4.20726,19900
28-07-2010,4.55,4.62,4.55,4.57,4.244411,13700
29-07-2010,4.5,4.69,4.5,4.64,4.309423,12600
30-07-2010,4.65,4.7,4.51,4.66,4.327998,16500
02-08-2010,4.7,4.7,4.58,4.65,4.318711,21600
03-08-2010,4.69,4.78,4.52,4.63,4.300137,11800
04-08-2010,4.68,4.75,4.68,4.69,4.35586,9100
05-08-2010,4.8,4.8,4.63,4.63,4.300137,29800
06-08-2010,4.63,4.75,4.58,4.58,4.253697,10500
09-08-2010,4.6,4.71,4.58,4.67,4.337286,39300
10-08-2010,4.57,4.68,4.55,4.68,4.346574,3200
11-08-2010,4.51,4.63,4.48,4.5,4.179397,15200
12-08-2010,4.56,4.6,4.47,4.5,4.179397,53900
13-08-2010,4.5,4.57,4.48,4.52,4.197973,15700
16-08-2010,4.45,4.58,4.45,4.54,4.216548,24000
17-08-2010,4.58,4.59,4.53,4.57,4.244411,8000
18-08-2010,4.59,4.74,4.55,4.65,4.318711,31700
19-08-2010,4.74,4.74,4.51,4.55,4.225837,19100
20-08-2010,4.67,4.67,4.26,4.5,4.179397,48800
23-08-2010,4.56,4.58,4.49,4.5,4.179397,30400
24-08-2010,4.5,4.57,4.39,4.5,4.179397,26400
25-08-2010,4.5,4.55,4.47,4.5,4.179397,9500
26-08-2010,4.51,4.57,4.42,4.5,4.179397,12400
27-08-2010,4.47,4.63,4.47,4.57,4.244411,19300
30-08-2010,4.6,4.62,4.55,4.55,4.225837,12500
31-08-2010,4.54,4.6,4.5,4.5,4.179397,6700
01-09-2010,4.6,4.71,4.57,4.66,4.327998,14800
02-09-2010,4.7,4.75,4.59,4.63,4.300137,13600
03-09-2010,4.66,4.73,4.6,4.63,4.300137,7800
07-09-2010,4.63,4.73,4.63,4.66,4.327998,11800
08-09-2010,4.72,4.81,4.68,4.74,4.402298,11500
09-09-2010,4.81,4.84,4.75,4.79,4.448737,16600
10-09-2010,4.72,4.75,4.5,4.62,4.290848,24400
13-09-2010,4.69,4.72,4.51,4.67,4.337286,12800
14-09-2010,4.7,4.72,4.56,4.66,4.327998,3900
15-09-2010,4.67,4.74,4.67,4.74,4.402298,6300
16-09-2010,4.75,4.75,4.63,4.67,4.337286,4600
17-09-2010,4.8,4.8,4.74,4.76,4.420874,20900
20-09-2010,4.84,4.9,4.71,4.9,4.5509,37300
21-09-2010,4.91,4.92,4.74,4.85,4.504462,23500
22-09-2010,4.88,4.88,4.81,4.84,4.495174,26300
23-09-2010,4.8,4.87,4.8,4.81,4.467312,23300
24-09-2010,4.81,4.88,4.8,4.86,4.51375,20500
27-09-2010,4.85,4.86,4.8,4.86,4.51375,17200
28-09-2010,4.85,4.91,4.84,4.9,4.5509,6100
29-09-2010,4.9,4.9,4.77,4.77,4.430161,18000
30-09-2010,4.75,5.07,4.75,5.01,4.653063,60200
01-10-2010,5.07,5.1,5.02,5.04,4.680925,11600
04-10-2010,5.1,5.1,5,5,4.643775,13900
05-10-2010,5,5.09,5,5.06,4.699501,14600
06-10-2010,5.07,5.1,5.06,5.09,4.727365,16700
07-10-2010,5.07,5.07,4.94,5.06,4.699501,9800
08-10-2010,5.05,5.06,5,5,4.643775,8800
11-10-2010,5.02,5.22,5,5.22,4.848102,36400
12-10-2010,5.23,5.24,5.11,5.17,4.801664,23800
13-10-2010,5.15,5.22,5.08,5.19,4.820239,13800
14-10-2010,5.19,5.24,5.12,5.22,4.848102,64200
15-10-2010,5.2,5.25,5.15,5.21,4.838814,11700
18-10-2010,5.09,5.18,4.91,5,4.643775,30600
